"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Ivory Coast,"47,909",,306 ,,"47,266",,337,,"1,775",11,"654,588","24,246","26,998,247 ",Africa,564,"88,230",41,,,12
Senegal,"42,118",+68,"1,156 ",,"40,667",+30,295,8,"2,454",67,"542,495","31,609","17,162,516 ",Africa,407,"14,846",32,4,,17
Madagascar,"41,998",+32,892 ,+1,"40,318",+39,788,78,"1,481",31,"209,835","7,397","28,366,486 ",Africa,675,"31,801",135,1,0.04,28
Zimbabwe,"40,318",,"1,637 ",,"37,056",,"1,625",2,"2,676",109,"601,540","39,919","15,068,912 ",Africa,374,"9,205",25,,,108
Cambodia,"40,157",+693,368 ,+7,"34,325",+754,"5,464",,"2,371",22,"1,262,862","74,552","16,939,298 ",Asia,422,"46,031",13,41,0.4,323
Angola,"36,921",,842 ,,"30,775",,"5,304",13,"1,091",25,"601,767","17,785","33,834,724 ",Africa,916,"40,184",56,,,157
Sudan,"36,304",,"2,732 ",,"29,994",,"3,578",,810,61,"232,965","5,198","44,821,410 ",Africa,"1,235","16,406",192,,,80
DRC,"35,918",,854 ,,"27,859",,"7,205",,390,9,"179,052","1,943","92,141,230 ",Africa,"2,565","107,894",515,,,78
Malawi,"34,588",,"1,162 ",,"32,773",,653,12,"1,765",59,"253,926","12,956","19,598,974 ",Africa,567,"16,867",77,,,33
Cabo Verde,"31,704",,276 ,,"30,590",,838,23,"56,439",491,"163,434","290,941","561,742 ",Africa,18,"2,035",3,,,"1,492"
Malta,"30,585",+3,419 ,,"30,121",+9,45,,"69,093",947,"957,441","2,162,897","442,666 ",Europe,14,"1,056",0,7,,102
